category	experiment	path	type	files	bytes	cloud_destination	include	reason
large_experiments	mindeyev2_ckpts	/mnt/data/TextAlign-AAAI/TextAlign-mindeye2/mindeyev2_ckpts	dir	15	44179476261	HF:model	include	Final large experiment asset
large_experiments	train_logs	/mnt/data/TextAlign-AAAI/TextAlign-mindeye2/train_logs	dir	10	132651290152	HF:model	include	Final large experiment asset
large_experiments	AAAI_FINAL_GPU_OUTPUT_BACKUP	/mnt/data/AAAI_FINAL_GPU_OUTPUT_BACKUP	dir	62	12659493874	HF:model	include	Final large experiment asset
large_experiments	31_step7f_statistics	/mnt/data/TextAlign-AAAI/TextAlign-mindeye2/31_step7f_statistics	dir	1	4302	HF:model	include	Final large experiment asset
large_experiments	32_step7f_paper_materials	/mnt/data/TextAlign-AAAI/TextAlign-mindeye2/32_step7f_paper_materials	dir	0	4096	HF:model	include	Final large experiment asset
followup_experiments	AAAI_HUMAN_WRITTEN_CHALLENGE_HC1_20260713	/mnt/data/AAAI_HUMAN_WRITTEN_CHALLENGE_HC1_20260713	dir	331	47924288	HF:data	include	Follow-up experiment asset
followup_experiments	AAAI_HUMAN_WRITTEN_CHALLENGE_HC2_WEB_20260713	/mnt/data/AAAI_HUMAN_WRITTEN_CHALLENGE_HC2_WEB_20260713	dir	229	38514333	HF:data	include	Follow-up experiment asset
followup_experiments	AAAI_FAST_VALIDATION_CLOUD_C1_20260713	/mnt/data/AAAI_FAST_VALIDATION_CLOUD_C1_20260713	dir	31	122880	GitHub	include	Follow-up experiment asset
followup_experiments	AAAI_FAST_VALIDATION_CLOUD_C2_20260713	/mnt/data/AAAI_FAST_VALIDATION_CLOUD_C2_20260713	dir	1033	96255822	HF:data	include	Follow-up experiment asset
followup_experiments	AAAI_FAST_VALIDATION_FINAL_20260717	/mnt/data/AAAI_FAST_VALIDATION_FINAL_20260717	dir	7973	142578221	HF:data	include	Follow-up experiment asset
followup_experiments	AAAI_FAST_VALIDATION_INCOMING_20260713	/mnt/data/AAAI_FAST_VALIDATION_INCOMING_20260713	dir	1	45675	GitHub	include	Follow-up experiment asset
followup_experiments	FIG4_REDO_CPU_AUDIT_20260722	/mnt/data/FIG4_REDO_CPU_AUDIT_20260722	dir	6	24138	GitHub	include	Follow-up experiment asset
followup_experiments	FIG4_REDO_CPU_PHASE_B_20260722	/mnt/data/FIG4_REDO_CPU_PHASE_B_20260722	dir	69	13187370	GitHub	include	Follow-up experiment asset
followup_experiments	FIG4_CANDIDATE_MINING_PHASE_C_20260723	/mnt/data/FIG4_CANDIDATE_MINING_PHASE_C_20260723	dir	162	289084182	HF:data	include	Follow-up experiment asset
followup_experiments	AAAI_FINAL_RECOVERY_METADATA	/mnt/data/AAAI_FINAL_RECOVERY_METADATA	dir	3	26390	GitHub	include	Follow-up experiment asset
followup_experiments	evals	/mnt/data/TextAlign-AAAI/TextAlign-mindeye2/evals	dir	15	4545457761	HF:data	include	Follow-up experiment asset
followup_experiments	eval	/mnt/data/TextAlign-AAAI/TextAlign-mindeye2/eval	dir	1	7943	GitHub	include	Follow-up experiment asset
followup_experiments	tables	/mnt/data/TextAlign-AAAI/TextAlign-mindeye2/tables	dir	5	45195	GitHub	include	Follow-up experiment asset
followup_experiments	figures	/mnt/data/TextAlign-AAAI/TextAlign-mindeye2/figures	dir	75	9492870	GitHub	include	Follow-up experiment asset
followup_experiments	audit_runs	/mnt/data/TextAlign-AAAI/TextAlign-mindeye2/audit_runs	dir	26	154628	GitHub	include	Follow-up experiment asset
followup_experiments	candidates_view	/mnt/data/TextAlign-AAAI/TextAlign-mindeye2/candidates_view	dir	50	34929077	HF:data	include	Follow-up experiment asset
reproducibility	mindeye21_conda_env	/mnt/data/conda_envs/mindeye21	dir	62415	8139054060	HF:model	include	Conda environment 7.8G
