subject_id,prompt,neg_prompt,gt_image_path,ip_embed_path
subj01,White cows eating grass under trees and the sky,,hdf5_index_0,
subj01,A man standing near the ocean with surf boards,,hdf5_index_1,
subj01,"A man on a surfboard, who is riding a wave.",,hdf5_index_2,
subj01,A group of people sitting and standing on top of a sandy beach.,,hdf5_index_3,
subj01,A shower and a white toilet in a small bathroom.,,hdf5_index_4,
subj01,Two zebra standing next to each other on dirt ground.,,hdf5_index_5,
subj01,A bird perched on the back of an orange chair.,,hdf5_index_6,
subj01,A group of boats with large giant cranes on top of them.,,hdf5_index_7,
subj01,The parking meters are posted beside a cement wall. ,,hdf5_index_8,
subj01,The hotel room features a contemporary  SIMPLEmotif.,,hdf5_index_9,
subj01,A chair in the corner of a messy room beside the bed,,hdf5_index_10,
subj01,A cat looks intently at a MacBook Pro being unboxed,,hdf5_index_11,
subj01,A batter swinging at a pitch during a baseball game.,,hdf5_index_12,
subj01,A cat is laying in between the keyboard and monitor. ,,hdf5_index_13,
subj01,the image of a street with parked cars on the side walk and there are advertsment signs,,hdf5_index_14,
subj01,A large golden clock in the middle of a station,,hdf5_index_15,
subj01,A man standing on a sidewalk in front of an easel with a hat on. ,,hdf5_index_16,
subj01,a boy taking a selfie in a mirror while brushing his teeth ,,hdf5_index_17,
subj01,A plate holding a grilled cheese sandwich and bowl of soup.,,hdf5_index_18,
subj01,A couple bottles of wine and a vase of flowers.,,hdf5_index_19,
subj01,a man plays baseball on a field with grass.,,hdf5_index_20,
subj01,A motorcycle parked on the side of the road with a bridge in the background.,,hdf5_index_21,
subj01,A couple of men standing next to each other holding catchers mitts.,,hdf5_index_22,
subj01,A giraffe with its eyes half closed near a tree branch.,,hdf5_index_23,
subj01,A girl's bare feet on top of a skateboard.,,hdf5_index_24,
subj01,This man is sitting on a bench next to a tree.,,hdf5_index_25,
subj01,A crowd watching a baseball game at a stadium.,,hdf5_index_26,
subj01,A group is gathered at a long table for a meal.,,hdf5_index_27,
subj01,A plane on the runway under cloudy skies.,,hdf5_index_28,
subj01,a couple of kids are holding stuffed animals,,hdf5_index_29,
subj01,A white bowl filled with mushroom and veggie soup.,,hdf5_index_30,
subj01,there's and airplane in the sky flying over some trees,,hdf5_index_31,
subj01,a black train is coming down the tracks,,hdf5_index_32,
subj01,A person on a surf board in the water,,hdf5_index_33,
subj01,A hot dog and a pickle on a tray.,,hdf5_index_34,
subj01,A passenger jet coming in for a landing over a big city.,,hdf5_index_35,
subj01,A man wearing glasses and a gray jacket and neck tie.,,hdf5_index_36,
subj01,A big fancy glass chandelier hanging in a small kitchen.,,hdf5_index_37,
subj01,Person cutting a piece of cake off of a small white plate. ,,hdf5_index_38,
subj01,I really cant see this image very well.,,hdf5_index_39,
subj01,two women posing for a picture while holding teddy bears ,,hdf5_index_40,
subj01,"A white pizza sliced in on a board along with two plates, utensils and pink napkins.",,hdf5_index_41,
subj01,Military aircraft waiting for clearance to take off on the runway.,,hdf5_index_42,
subj01,A wooden table topped with carrot cake donuts.,,hdf5_index_43,
subj01,white galley kitchen with messy counters and sunny window,,hdf5_index_44,
subj01,A man standing on a sidewalk in front of an easel with a hat on. ,,hdf5_index_45,
subj01,Two people are on the beach riding their horses. ,,hdf5_index_46,
subj01,A beautiful girl holding a giant banana in her hands.,,hdf5_index_47,
subj01,A beach area with umbrellas and padded lounge chairs at dusk.,,hdf5_index_48,
subj01,A wooden table topped with two monitors and a laptop computer.,,hdf5_index_49,
subj01,A teddy bear sitting on top of a white bed.,,hdf5_index_50,
subj01,A bus that is very rusted and damaged. ,,hdf5_index_51,
subj01,A person jumping high up in the air.,,hdf5_index_52,
subj01,a kitty in a red knitted hat with ears ,,hdf5_index_53,
subj01,A very cute dog sitting by a bright monitor.,,hdf5_index_54,
subj01,A clock in front of an abstract design.,,hdf5_index_55,
subj01,A couple of white boats on the water.,,hdf5_index_56,
subj01,A red traffic light with a red stop sign posted underneath it.,,hdf5_index_57,
subj01,A street traveling past red brick homes with trees.,,hdf5_index_58,
subj01,Two zebras grazing in the high brown and green grass on the Savannah,,hdf5_index_59,
subj01,Baby birds walking in a swamp and over reeds.,,hdf5_index_60,
subj01,A few different types of vegetables on top of a cutting board and paper towel .,,hdf5_index_61,
subj01,Two white toilets sit side by side in a restroom area.,,hdf5_index_62,
subj01,large and tall steeple on a cloudy day.,,hdf5_index_63,
subj01,A man holding a pizza cutter standing in front of a table with two pizzas,,hdf5_index_64,
subj01,Two elephants standing next to each other in a grass field.,,hdf5_index_65,
subj01,Multiple pairs of scissors attached by a beaded metal string. ,,hdf5_index_66,
subj01,Several house barges lined up on a river.,,hdf5_index_67,
subj01,A man holding a pizza cutter standing in front of a table with two pizzas,,hdf5_index_68,
subj01,A man riding a wave in the water on a surfboard.,,hdf5_index_69,
subj01,A cellphone with a strange rainbow screen saver,,hdf5_index_70,
subj01,A cat sitting on top of the hood of a red car. ,,hdf5_index_71,
subj01,A cat is laying on the sofa watching an auction on tv.,,hdf5_index_72,
subj01,A black and white dog standing on top of a seat.,,hdf5_index_73,
